Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2019,March,Portsmouth City,3364,8260,107758,585,8425
2021,April,Rockingham County,1313,2691,82002.23,303,3291
2019,December,Virginia Beach City,4516,16239,265672,220,3144
2019,March,Botetourt County,183,593,11779.25,,0
2021,June,Lancaster County,287,554,54387,,
2021,January,Cumberland County,817,1253,49181,,
2019,May,Cumberland County,654,1050,40584,,
2019,March,BEDFORD COUNTY,374,770,15751.1,,0
2020,June,Henrico County,3,5,,,
2021,June,Lee County,298,849,15933.25,,689
2019,May,York County,281,844,54473,215,2910
2020,May,Isle of Wight County,607,1343,21940,60,1662
2019,May,Warren County,735,2181,45997.84,270,425
2020,May,Winchester City,1874,6005,122124.64,2260,17376
2019,May,Fairfax County,1,3,,,
2019,March,Fauquier County,980,2008,43276.94,,0
2019,August,Bath County,304,536,14809.76,,0
2020,December,Sussex County,200,498,6152,,
2019,June,King William County,1,4,,,
2021,March,Botetourt County,137,415,5874,16,135
2019,November,Amelia County,139,396,8194,,
2019,April,King William County,146,2902,17379,,
2021,February,Patrick County,606,1269,16509.68,,0
2019,September,Roanoke City,5083,20997,328764.6,1039,4370
2021,March,New Kent County,434,1291,0,,
2019,December,Henrico County,1,1,,,
2020,March,Loudoun County,2663,12166,213042.32,1065,24277
2020,April,Harrisonburg City,2215,8837,230753.6,154,2241
2019,September,Prince William County,,,217196.8981,,12881
2021,January,Danville City,1767,4401,101630.5,,0
2019,October,Covington City,474,1801,29979.65,,0
2019,September,Lee County,450,1290,23696.9,,0
2019,October,Northumberland County,285,726,93572,,
2021,May,Mecklenburg County,1537,2431,9750,,
2019,August,Charles City County,304,807,9897,,
2020,September,Bedford County,1020,3208,86386.83,,1112
2019,October,Chesterfield County,1125,10401,240317,,
2021,January,Greene County,686,2040,57947.3,80,1137
2021,January,Loudoun County,3657,13579,155927.86,733,18815
2019,December,Richmond County,19,38,1853255,,
2019,March,Warren County,775,2193,41469.93,0,462
2019,October,BEDFORD COUNTY,290,535,20972.02,,0
2020,January,Mathews County,,,23112,0,
2021,March,Roanoke City,3967,22586,507229.7,439,14328
2019,August,King George County,293,788,11034,,0
2019,April,Radford City,881,2014,30350.9,289,0
2020,November,Emporia City,0,0,0,,
2020,May,Charlottesville City,1597,9612,53703.91,,0
2019,January,Buchanan County,1092,2698,73123.6,274,6536
2021,February,King and Queen,,,114443,,
2021,June,Louisa County,1044,1982,14879,,
2019,November,Bath County,279,577,16887.59,,0
2020,May,King and Queen County,0,0,0,,
2021,February,Amelia County,169,463,7633,,
2020,July,Middlesex County,473,761,10304,,
2020,February,PAGE COUNTY,385,742,42145.55,,0
2020,January,Nelson County,369,722,34789.38,,0
2019,September,STAUNTON CITY,434,5364,20354.27,,343
2020,September,Loudoun County,3335,16429,213875.8,700,11363
2019,December,Rappahannock County,306,769,22955.19,,0
2019,February,Loudoun County,2139,7941,138984.56,1144,14779
2019,April,Winchester City,2778,7659,139327.12,220,6856
2021,March,Roanoke County,307,973,17291.5,92,2110
2019,December,Suffolk City,2471,5677,70373,250,3508
2021,January,Winchester City,1290,4024,82623.12,129,997
2019,July,Wise County,968,2854,43232.85,,0
2019,May,Bristol City,503,2692,3371,67,0
2020,July,Galax City,313,787,10214,,0
2019,February,Culpeper County,20,61,,,
2021,March,Bland County,203,497,27666.1,,0
2020,December,Roanoke County,447,1416,32242,96,1191
2019,November,Portsmouth City,2334,7820,123310,560,5364
2020,September,Lee County,438,1227,30463.8,,0
2019,March,Albemarle County,2572,6150,151880.29,115,3013
2019,April,James City County,288,844,111256,245,
2020,August,Carroll County,272,708,17500.02,,0
2019,February,Nottoway County,161,1893,18983,,
2021,May,Wythe County,760,1671,18795.14,,0
2019,January,Lunenburg County,398,3027,79170,,
2020,October,Brunswick County,430,721,102604,,
2019,February,Isle of Wight County,1446,3296,48030,60,743
2019,October,Essex County,45,114,,,
2021,May,Grayson County,950,2577,45822.1,,1356
2019,July,Roanoke City,4419,24407,247390.67,634,0
2019,June,Dickenson County,637,1452,37117.15,,0
2020,October,Craig County,66,71,3828,2,0
2019,December,Frederick County,2594,5760,50030.34,,0
2021,March,King and Queen County,330,731,214849,,
2019,May,Washington DC,2,10,,,
2019,July,Lynchburg City,8373,12745,165736.14,0,12591
2020,August,Prince George County,70,174,0,,
2019,September,Fauquier County,841,1495,58275.39,,0
2020,April,Northumberland County,272,656,80424,,
2020,January,Charles City County,310,770,12995,,
2021,June,Norton City,440,1354,19891.94,,0
2021,July,Carroll County,225,578,12204.23,,0
2021,May,STAUNTON CITY,309,665,15308.8,,454
2019,December,Loudoun County,4170,9191,125867.06,1090,11435
2019,January,Northumberland County,268,581,75074,,
2019,March,Carroll County,350,901,14955,,0
2019,February,Salem City,816,2240,27964.15,,0
2020,September,Petersburg City,0,8877,0,,
2020,February,Essex County,275,598,29576,,
2019,August,Norton City,749,2371,26050.4,,0
2019,February,Floyd County,429,1149,12333.1,,0
2019,September,Rockingham County,1721,3355,86161.86,,0
2020,March,Prince William County,18,45,156,,0
2019,July,Bath County,236,529,12566.99,,0
2021,May,Orange County,537,1203,30810.12,,0
2020,September,Colonial Heights City,64,137,53630,,
2020,March,Hampton City,,,36036,,
2019,August,CLARKE COUNTY,168,338,12149.09,0,0
2020,May,Salem City,1646,4277,107548.45,,0
2019,July,Charlotte County,656,1368,0,,
2020,July,Fauquier County,772,1896,46013.09,,0
2020,January,King and Queen,,,37990,,
2019,August,Franklin City,868,2162,26919,0,0
2020,September,Albemarle County,2657,6209,270534.56,55,1138
2019,August,Shenandoah County,1200,3137,100233.39,,0
2020,June,Giles County,215,337,14637,,0
2020,September,Galax City,445,1119,19558.6,36,1948
2021,February,King and Queen County,0,0,0,,
2020,March,York County,424,1383,45461,215,2646
2020,January,Grayson County,780,2179,32476.2,,0
2020,April,Fredericksburg City,901,2351,41541.62,,0
2020,August,Giles County,226,353,15575,,0
2019,October,Fluvanna County,437,974,26741.32,127,4576
2020,October,Wythe County,919,2833,59254.66,,0
2020,June,Nottoway County,251,677,42089,,
2020,April,Caroline County,469,1274,21454.74,247,164
2020,August,Goochland County,104,463,84339,,
2019,September,Amherst County,902,1982,114348.18,0,1100
2020,January,CLARKE COUNTY,253,393,6022.94,82,1134
2019,January,Prince William County,,,293492.2651,,
2019,January,Fauquier County,876,2071,56189.37,,0
2019,January,Highland County,51,141,3897.5,,0
2020,April,Pulaski County,1420,5449,23501.15,48,0
2019,February,Danville City,3143,8533,129161.65,393,1001
2020,May,Goochland County,118,423,82322,,
2020,April,Lexington City,942,2151,51980.01,,0
2019,May,Washington County,1449,4251,135876.8,,566
2021,February,Richmond County,35,73,437337,,
2019,May,Petersburg City,938,2059,4143,,
2020,July,Pulaski County,1309,5437,30704.18,,0
2019,February,Buena Vista City,651,1147,25009.68,,0
2021,May,Pittsylvania County,,,0,0,0
2021,April,Lee County,306,832,20418.9,27,3038
2019,January,Nottoway County,150,2576,22402,,
2021,February,Frederick County,485,1543,34392.55,,0
2019,April,Fairfax County,,,572412.9388,,1476
2019,October,Prince William County,31,102,525,,0
2019,December,Williamsburg City,344,952,67292,35,3112
2019,September,Loudoun County,3043,10097,199710.32,2983,11310
2019,December,Charles City County,359,896,10912,,
2020,November,Colonial Heights City,0,1144,0,,
2019,June,Newport News City,1411,1833,337378,190,1354
2020,December,Powhatan County,101,686,147357,,
2019,July,Amherst County,1282,2470,100339.53,,0
2019,October,Russell County,1004,2345,39640.75,,0
2019,January,Smyth County,1403,4267,127395.13,502,15390
2021,March,Warren County,223,555,32801.13,40,1307
2019,June,Norfolk City,6492,27740,464790,1235,8023
2019,November,Lee County,591,1738,25548.68,,0
2020,May,Surry County,159,308,24895,0,
2019,February,PAGE COUNTY,202,630,29889.72,,0
2019,June,Fluvanna County,516,1058,34807.16,0,0
2020,April,Washington County,1266,4716,81520.78,80,653
2020,July,Roanoke City,3363,23424,345086.6,650,2631
2019,February,Prince George County,343,970,4710,,
2020,December,Bath County,290,581,22602.58,,0
2020,November,Norton City,823,2443,25364.8,,0
2021,March,Buchanan County,1471,3304,105625.5,328,4372
2020,July,Petersburg City,878,2032,0,,
2020,October,Danville City,2483,6022,197181.1,50,0
2020,October,Galax City,659,1640,17708.2,65,0
2019,April,Norfolk City,9407,30792,410337,1227,19049
2019,May,Charles City County,2,6,,,
2019,March,Southampton County,528,1178,13795,98,1804
2021,August,Scott County,326,576,23732.38,,0
2019,November,Craig County,55,98,6246.5,38,0
2019,April,Westmoreland County,412,979,4681,,
2021,May,Craig County,296,296,5734.5,20,0
2019,February,Gloucester County,846,2620,91671,60,1771
2020,February,Giles County,333,768,12954,,0
2019,May,STAUNTON CITY,495,5612,23044.73,,1008
2019,April,Pittsylvania County,,,0,87,2140
2021,April,Hanover County,794,2106,571,,
2020,September,Carroll County,325,846,17473,,0
2019,September,Martinsville City,317,1567,12352.5,72,900
2020,December,Greene County,815,2480,83577.77,80,1602
2020,March,Frederick County,3265,5634,61216.77,,0
2020,October,Dickenson County,947,1868,24778.66,,0
2019,April,Fredericksburg City,885,1863,56988,700,1861
2019,July,Covington City,370,1380,29120.75,,0
2019,August,Sussex County,224,545,9808,0,0
2020,November,Louisa County,1312,2714,11587,,
2019,June,Portsmouth City,3569,9172,104308,585,3651
2020,February,Colonial Heights City,106,255,38217,,
2021,February,Craig County,302,64,7592,21,0
2020,December,Prince George County,84,205,3868,,
2019,April,Wise County,994,2838,49304.31,,0
2020,December,Chesterfield County,2447,12165,678555,,
2020,April,Norton City,521,1578,29429.75,,0
2020,December,Fauquier County,773,1941,35781.78,,0
2020,June,Hopewell City,85,209,27652,,
2019,December,Radford City,809,2110,29791.55,278,0
2021,May,Radford City,199,911,19419.5,125,0
2020,February,CLARKE COUNTY,139,323,7182.1,82,998
2019,August,Fauquier County,1,2,,,
2019,January,Loudoun County,2787,10345,160525.28,1190,19313
2019,May,CLARKE COUNTY,202,411,17143.12,,0
2021,February,Tazewell County,1227,2680,63878.1,,247
2019,December,Lexington City,666,1334,32637.53,,0
2020,February,Colonial Heights City,0,1561,0,,
2020,December,Albemarle County,2809,7348,296719.55,55,1176
2020,December,Montgomery County,1795,9480,67732.68,527,2431
2021,March,King William County,479,4957,89668,,
2019,February,Winchester City,3106,8276,105829.12,224,4202
2019,July,Rockingham County,1825,3572,77028,,0
2020,April,Westmoreland County,84,209,1907.9,,0
2020,November,Galax City,1114,2659,16994.55,71,0
2021,March,Madison County,216,465,33158.24,,0
2020,January,Franklin City,2,2,,,
2020,January,Lancaster County,447,920,63779,,
2019,July,BEDFORD COUNTY,405,839,15977.98,,0
2019,October,Brunswick County,391,889,11409,,
2021,March,Franklin County,682,2203,46577,293,0
2020,January,Greene County,634,1479,56427.49,87,1692
2021,January,Shenandoah County,896,2266,48053.08,,0
2019,June,Craig County,56,70,8994,,0
2020,November,STAUNTON CITY,369,4058,27020.75,,313
2019,October,York County,413,1248,55812,215,2910
2019,August,Orange County,302,691,9052,,0
2019,November,Henrico County,2469,9306,33891,,
2021,March,Fairfax County,,,1844092.165,,57659
2020,November,Nottoway County,242,722,15478,,
2019,August,Chesterfield County,5,5,,,
2021,June,Buena Vista City,266,679,52575.46,,0
2021,March,Brunswick County,429,703,37213,,
2020,September,Emporia City,0,0,0,,
2019,January,Warren County,444,2177,42793.86,60,558
2020,October,Pittsylvania County,645,1638,35968.72,,0
2019,June,Fauquier County,843,1578,44729.9,,0
2019,June,Rockingham County,1235,3337,80512.87,,0
2021,January,Buckingham County,816,1544,34659.3,,0
2019,February,Giles County,340,660,13985,71,0
2020,May,Roanoke City,3176,19529,287544.65,758,0
2020,October,Buchanan County,2054,25466,113194.5,307,0
2019,August,STAUNTON CITY,434,5773,19582.73,,918
2019,October,Wise County,1302,4215,55341.03,,0
2020,January,Virginia Beach City,5555,21752,268950,220,3269
2020,March,King William County,171,4225,23395,,
2020,March,Charlotte County,681,1305,0,,
2021,June,Madison County,207,499,25571.77,,0
2021,April,CLARKE COUNTY,139,325,6932.23,64,532
2020,October,Prince George County,75,211,4963,,
2021,February,Rappahannock County,171,464,14852.46,,0
2019,December,CLARKE COUNTY,194,330,7341.37,0,915
2021,May,Dinwiddie County,429,978,2424,,
2020,June,Albemarle County,2265,6209,182929.82,18,498
2021,September,Radford City,,,9681,,0
2019,January,King William County,75,2704,13068,,
2021,April,Botetourt County,147,503,14958.25,16,0
2019,August,Wise County,1119,3743,52422.55,,0
2019,May,King and Queen County,0,1335,0,,
2021,April,Amherst County,1022,2312,76784.51,1002,0
2019,November,Middlesex County,663,1006,13634,,
2021,April,Buckingham County,680,1320,34913.68,,0
2020,November,Roanoke City,4910,22535,515113.07,349,2337
2021,June,Covington City,173,581,11741.88,,0
2020,February,Northumberland County,247,623,59390,,
2020,October,Salem City,561,1429,25056.55,,0
2021,January,PAGE COUNTY,575,1159,63171.88,,0
2019,October,Goochland County,92,1095,45040,,
2019,July,Pittsylvania County,,,0,0,0
2020,March,Rockbridge County,202,4646,14040.91,,0
2020,October,Colonial Heights City,89,201,40530,,
2019,May,Lexington City,658,1359,38508.66,,0
2020,February,Chesapeake City,2937,8421,207695,285,5281
2020,December,Augusta County,2294,5536,218584.49,283,427
2019,December,Goochland County,58,729,44699,,
2020,July,Sussex County,125,350,8423,,
2020,April,Williamsburg City,1686,5935,91616,35,2646
2019,October,Tazewell County,2520,5976,75527.78,40,608
2019,May,Buckingham County,895,1625,36202.5,,0
2021,January,Chesterfield County,2438,11414,487853,,
2020,November,Richmond City,0,11400,0,,
2020,January,Richmond City,2,4,,,
2021,September,Franklin County,,,42547.68,,6320
2019,March,Warren County,1,2,,,
2019,May,Mecklenburg County,705,27020,16626,,
2020,April,Pittsylvania County,537,1382,22894.86,,0
2019,November,Fauquier County,5,16,,,
2019,June,Covington City,399,1400,23399.5,,0
2019,January,Charlottesville City,3184,9776,39766.03,0,0
2021,May,Prince Edward County,1481,2490,64460,,
2020,November,Giles County,230,347,7623,,0
2021,January,Petersburg City,0,7649,0,,
2019,April,Essex County,52,133,,,
2019,September,Prince Edward County,1377,2616,39878,,
2020,March,Nottoway County,310,896,39805,,
2020,January,Greensville County,81,273,132632,,
2019,July,Brunswick County,269,551,10228,,
2019,August,Emporia City,0,0,0,,
2021,May,Martinsville City,168,1375,11741.19,,0
2019,December,Stafford County,987,2964,43130,168,404
2021,April,Sussex County,132,306,16199,,
2019,July,Henry County,2965,5952,82864.8,,0
2020,May,Prince Edward County,1764,3027,26577,,
2020,February,Richmond County,21,49,357688,,
2020,January,Fauquier County,805,1858,32621.63,,0
2020,December,Prince Edward County,1218,2119,36980,,
2019,June,Charles City County,297,788,12836,,
2020,May,Franklin City,324,805,84084,100,678
2020,August,Prince William County,,,470563.0446,,24378
2020,May,King William County,3,8,,,
2019,June,Roanoke City,5417,24347,392379.08,628,150
2020,November,Essex County,359,772,26327,,
2019,March,Hampton City,1622,1895,227421,410,10546
2021,May,Goochland County,91,361,99920,,
2019,October,Northampton County,316,699,13015,95,1394
2020,June,King William County,2,4,,,
2019,June,Buchanan County,1346,3148,67238.25,,0
2020,July,Dickenson County,697,1450,15702,,0
2019,October,Fauquier County,3,7,,,
2019,February,Madison County,240,574,21064.61,,0
2019,February,Frederick County,2058,4086,55187.9,,0
2019,December,Poquoson City,95,329,11965,0,
2019,May,Lynchburg City,2891,6287,180407.44,2468,16352
2021,August,Craig County,232,234,4801,,296
2020,January,Powhatan County,176,437,111372,,
2021,January,Botetourt County,140,480,10176.38,15,0
2020,May,Hopewell City,107,246,30951,,
2020,November,Tazewell County,1960,4385,56548.95,,536
2021,May,Botetourt County,109,371,8840.81,,816
2019,July,Lunenburg County,432,2656,91195,,
2020,April,Colonial Heights City,96,221,38896,,
2020,September,Rappahannock County,303,654,16139.37,,0
2020,June,Radford City,647,1763,18952.5,,0
2021,January,Giles County,225,307,13627,,0
2021,May,Campbell County,906,2015,101905.52,,0
2019,April,Buena Vista City,917,1763,24928.63,,0
2019,December,Halifax County,402,1227,21077,,
2020,February,Fluvanna County,398,804,20031.45,134,4065
2019,May,Pittsylvania County,568,1427,26674.39,,0
2020,September,Pittsylvania County,579,1429,32197.3,,0
2020,December,King and Queen,,,93918,,
2019,May,Amherst County,1131,2353,125046.93,636,0
2019,March,Washington County,1506,4277,77346.1,117,934
2019,September,Caroline County,726,1888,33123,1250,1509
2021,September,Roanoke County,,,17110.95,,2325
2020,February,Richmond City,2,4,,,
2019,March,Franklin County,758,2275,46862.75,,0
2019,June,Petersburg City,0,3808,0,,
2019,December,Fairfax County,,,544389.4825,,46552
2020,May,Franklin County,677,1861,37538.6,,0
2020,July,Russell County,622,1469,38276.33,,0
2020,March,Chesterfield County,2252,8635,268025,,
2019,January,Campbell County,821,1670,102514.81,130,7094
2019,June,James City County,174,508,135519,52,
2019,August,Albemarle County,2486,6370,187384.64,0,0
2021,March,Westmoreland County,336,853,8028,,
2021,April,Augusta County,1385,3148,141942.14,62,1083
2020,July,Hopewell City,0,959,0,,
2021,February,Washington County,1191,4615,79058.05,168,0
2020,May,Covington City,250,4351,30491,,0
2019,June,Loudoun County,,,8038,,
2019,July,Portsmouth City,2274,7211,123217,0,0
2019,April,Westmoreland County,72,195,1237,,0
2020,December,Hopewell City,0,1096,0,,
2019,May,Goochland County,49,922,38754,,
2020,February,Nelson County,594,1199,38254.72,,0
2019,October,Rockbridge County,5623,7121,14064.56,,0
2020,December,Pulaski County,959,5103,22984.63,200,0
2019,February,Smyth County,1556,4983,96595.85,373,12890
2019,October,Lunenburg County,572,2318,68074,,
2019,July,Fauquier County,828,1491,53069.79,,0
2020,December,Lee County,439,1246,27099.69,,0
2020,March,King and Queen County,123,324,189375,,
2019,December,Isle of Wight County,1621,3724,47245,60,851
2021,April,Alleghany County,113,303,25749.1,,0
2020,August,Rockbridge County,367,805,9081,,0
2019,April,Colonial Heights City,0,1876,0,,
2020,March,Roanoke City,5370,24608,438534.29,476,3211
2019,October,Colonial Heights City,83,202,55504,,
2020,July,Fluvanna County,467,907,38724.68,,1569
2019,April,Henrico County,8,18,,,
2019,July,Isle of Wight County,1309,2997,49416,0,0
2019,September,Winchester City,3072,8300,133587.62,160,1962
2020,May,Halifax County,401,929,22962,,
2020,March,Hanover County,52,143,,,
2020,January,King and Queen County,28,40,,,
2020,August,Augusta County,2140,5292,227209.72,2096,10785
2019,April,PAGE COUNTY,318,629,43968.02,,0
2020,July,Franklin County,801,2175,44091.4,,0
2020,May,Highland County,236,487,8981.29,,0
2021,February,Botetourt County,148,364,11001.63,15,2327
2019,June,Harrisonburg City,2172,7499,124007.26,145,11748
2019,May,Madison County,292,525,28137.7,,0
2019,March,Lee County,408,1153,23073.42,,0
2021,May,Salem City,574,1574,70219.61,,0
2019,April,Hopewell City,0,897,0,,
2020,January,James City County,248,760,98137,245,1598
2020,April,Bristol City,286,825,4702,188,1253
2020,November,Bland County,351,933,14911.4,,0
2019,January,Danville City,3233,7867,130266.65,392,1771
2021,January,Richmond City,8828,19059,30526,,
2019,August,Appomattox County,658,2125,23352.2,,0
2020,February,York County,300,880,52136,215,2191
2021,February,Greensville County,85,261,173854,,
2019,October,Emporia City,124,187,35228,,
2020,January,Rappahannock County,2,4,,,
2019,January,Rappahannock County,216,602,18464.37,,0
2019,November,Poquoson City,112,395,10178,0,
2020,December,Colonial Heights City,0,1382,0,,
2021,January,Lynchburg City,12095,17555,199812.88,0,16846
2020,August,Danville City,2053,5647,124738.85,,0
2020,December,Winchester City,1867,5962,122881.8,117,3348
2019,September,Greensville County,68,259,136270,,
2019,March,Arlington County,,,41437.73999,,646
2019,May,Craig County,56,117,5789,51,0
2021,June,Salem City,455,1220,25384.88,,0
2019,June,Richmond County,1,1,363060,,
2021,May,Pulaski County,818,4730,24511.16,200,4926
2021,January,BEDFORD COUNTY,450,899,26776.22,0,0
2019,January,Charles City County,6,13,7656,,
2019,April,Roanoke County,172,474,7184.58,264,3262
2019,June,Henry County,3056,6025,70909.4,30,0
2021,June,Radford City,530,1931,21256,201,0
2020,April,Lunenburg County,835,3013,116616,,
2021,February,Alleghany County,390,1220,25338.02,,0
2021,July,Patrick County,797,1744,22806.34,,0
2019,April,Scott County,562,1161,27954.5,13,561
2021,June,Dickenson County,397,686,14910.37,,44
2019,July,Sussex County,146,396,12079,,
2020,May,Dinwiddie County,320,786,4049,,
2020,January,Spotsylvania County,2487,8024,110445.98,6024,3643
2019,March,Charlotte County,194,668,0,,
2019,February,Southampton County,546,1125,20800,95,922
2021,February,Martinsville City,188,1769,15878.65,,510
2020,June,Highland County,231,476,11420.67,,0
2020,February,Campbell County,1072,2136,105701.82,649,7334
2020,April,Emporia City,0,1153,0,,
2020,January,Essex County,255,561,29994,,
2019,May,Richmond City,0,38292,0,,
2020,February,Charlotte County,844,1646,0,,
2019,January,Essex County,225,515,19470,,
2020,October,Powhatan County,128,800,174672,,
2019,May,Louisa County,11,24,,,
2021,June,Frederick County,2506,6264,42227.4,,0
2020,January,Goochland County,142,658,39380,,
2020,January,Culpeper County,16,41,,,
2019,May,Nelson County,385,634,42041.95,,1299
2019,October,Suffolk City,2827,6256,80004,250,5340
2020,May,Petersburg City,0,6006,0,,
2020,May,Chesapeake City,1580,4885,191083,310,2101
2020,November,Prince George County,71,202,0,,
2019,April,King and Queen,,,48085,,
2020,February,Roanoke County,389,1078,20844.6,255,2215
2019,November,Prince William County,,,254216.98,,16942
2021,March,Chesterfield County,2765,12686,980103,,
2021,August,Bland County,228,618,80137.63,,0
2019,June,Bristol City,464,1133,6228,,0
2020,June,Chesterfield County,2040,7914,610098,,
2019,May,Norfolk City,10256,33275,444592,1262,20756
2020,March,Botetourt County,187,579,11988.96,13,0
2021,April,Fauquier County,619,1468,39812.22,,0
2019,February,Manassas City,6,6,,,
2021,May,Charles City County,136,399,48124,,
2020,October,Carroll County,297,755,21358,,0
2019,October,Stafford County,1613,4929,65557,1184,3277
2020,April,Prince George County,66,192,7099,,
2020,November,CLARKE COUNTY,192,404,5063.33,63,1272
2019,December,Charlotte County,594,1237,0,,
2019,May,King and Queen County,23,47,,,
2021,April,Nelson County,564,1065,49524.42,,0
2020,October,Bland County,266,680,30280.26,,0
2021,March,Floyd County,324,793,14309,,0
2019,October,Westmoreland County,412,993,14798,,
2019,February,Patrick County,822,2344,10285.2,,0
2019,March,Bristol City,476,2587,2899,62,0
2019,August,Bland County,564,1457,17964.85,,0
2021,August,Buchanan County,1254,2828,92039.63,,0
2021,May,Harrisonburg City,1562,5676,134206.76,90,4791
2019,March,Salem City,883,2417,24041,,0
2020,April,Henrico County,1,1,,,
2020,February,Suffolk City,2152,4478,64131,250,4779
2020,May,Essex County,258,546,31620,,
2019,July,Halifax County,314,950,28507,,
2020,February,Buckingham County,935,1704,39595.65,,0
2020,March,Spotsylvania County,2047,6718,160184.22,1155,2587
2021,June,Warren County,319,981,26406.32,38,1028
2019,June,King and Queen County,21,54,,,
2020,September,Richmond City,8502,18084,29842,,
2019,July,Middlesex County,418,703,9318,,
2019,October,Amelia County,143,445,13157,,
2021,June,Emporia City,67,92,20386,,
2019,September,Craig County,57,115,4302,44,0
2020,October,Shenandoah County,968,2573,73481.76,,0
2019,November,Charlotte County,767,1617,0,,
2020,November,Carroll County,332,855,14777.8,,0
2019,October,Fairfax County,,,524148.8625,,33490
2019,February,Harrisonburg City,1793,6207,130142.85,144,502
2019,March,Alexandria City,,,59856.01113,,1441
2019,March,Surry County,66,134,34039,0,
2019,January,King and Queen County,21,58,,,
2019,June,Halifax County,306,890,14256,,
2021,May,Norton City,409,1123,28795,,0
2019,March,Lunenburg County,366,1538,68077,,
2019,April,Brunswick County,250,964,8110,,
2019,April,Dinwiddie County,123,973,5426,,
2020,July,Salem City,435,1117,30732.2,,0
2019,August,Petersburg City,926,2094,7627,,
2020,February,Gloucester County,901,2634,110557,60,828
2019,January,Caroline County,759,1980,40274,327,785
2019,December,Louisa County,1222,2743,4646,,
2019,April,Danville City,3129,8205,142202.54,400,1109
2019,August,Fauquier County,878,2001,68727.06,,0
2020,February,Buena Vista City,458,876,27374.9,,0
2019,November,Scott County,753,1700,24243.3,13,0
2019,December,Dinwiddie County,312,1094,4055,,
2020,January,Chesterfield County,3,3,,,
2019,January,Essex County,34,109,,,
2020,January,Suffolk City,2627,5396,88653,250,3606
2019,October,Pittsylvania County,,,0,80,2203
2020,January,Lee County,454,1265,28876.88,,0
2019,August,Montgomery County,984,5726,37249.9,862,6379
2019,July,Fluvanna County,438,917,26945.75,0,0
2019,February,Grayson County,668,1999,19493.4,,0
2021,February,Powhatan County,90,459,117268,,
2019,March,Patrick County,850,2211,12420.5,,0
2021,January,King and Queen County,279,618,229689,,
2020,February,Dickenson County,1039,2189,28712.57,,0
2020,August,Harrisonburg City,1974,6532,171325.89,137,2217
2019,June,Rappahannock County,273,653,15396.48,,0
2020,February,Madison County,279,659,20792.13,,0
2021,January,Pittsylvania County,551,1261,29155.43,,0
2019,January,Hopewell City,17,29,11275,,
2019,September,Poquoson City,101,353,12031,0,
2020,November,Rockingham County,1876,4336,124380.37,292,5992
2019,August,Hanover County,490,2160,606,,
2019,November,STAUNTON CITY,413,5663,28183.89,,280
2019,November,Lexington City,744,1678,58952.54,,0
2020,March,Henry County,2183,5413,93766.11,739,6439
2020,April,Virginia Beach City,2581,7930,307865,45,0
2020,January,Wythe County,1011,2514,21846.25,,0
2019,March,Lancaster County,389,796,82931,,
2019,September,Emporia City,89,134,16254,,
2019,July,Mathews County,,,24158,,
2020,December,Nottoway County,262,728,34564,,
2021,April,Roanoke City,3735,17553,360445.86,294,3857
2019,April,Halifax County,315,867,21750,,
2020,November,Prince Edward County,1221,2075,41893,,
2019,November,CLARKE COUNTY,197,411,5803.86,0,202
2020,February,Isle of Wight County,1265,2838,37692,60,842
2020,October,Rockingham County,2922,4401,128558.4,292,10794
2019,October,Prince Edward County,1386,2744,46746,,
2020,June,Powhatan County,92,999,148077,,
2019,August,Richmond City,0,17755,0,,
2019,December,Culpeper County,15,37,,,
2020,July,Shenandoah County,850,2108,47416.79,,0
2019,August,Floyd County,367,1050,15987.65,,0
2019,September,Roanoke County,327,1042,12692.5,1049,330
2019,April,Orange County,323,772,10586,,0
2020,August,Nelson County,602,1163,43346.61,,0
2019,July,Danville City,3232,8596,130909.8,,1128
2020,April,Charles City County,333,900,9028,,
2021,February,CLARKE COUNTY,177,320,6614.72,0,837
2019,June,Essex County,220,512,24043,,
2019,February,King George County,329,865,8522,19,25
2020,December,King and Queen County,352,801,263911,,
2021,April,Westmoreland County,318,792,4280,,
2019,September,Lynchburg City,2464,8711,157198.06,5648,27280
2019,January,Nelson County,461,1078,35154.44,,0
2020,September,Northumberland County,289,674,103532,,
2020,May,Portsmouth City,2923,4768,75616,300,2433
2019,July,Petersburg City,0,3425,0,,
2021,January,Greensville County,75,218,1480388,,
2020,July,Emporia City,22,33,23403,,
2020,December,Lunenburg County,750,2708,109696,,
2019,October,Albemarle County,2370,6315,189254.27,95,2587
2020,October,Culpeper County,713,1899,71336.61,,0
2020,March,Lunenburg County,756,2211,81152,,
2019,May,Sussex County,247,547,12196,130,1915
2021,April,Fluvanna County,328,811,29015.43,90,0
2019,April,Alleghany County,360,913,26190.35,,0
2020,July,Rappahannock County,225,525,11120.47,,0
2019,May,King and Queen County,69,168,281028,,
2020,April,Roanoke City,3242,21365,233861.83,523,3496
2020,May,Middlesex County,872,1175,10607,,
2020,October,Winchester City,1982,6060,145028.04,140,5697
2019,August,Warren County,982,2357,45337.54,300,404
2020,March,Hopewell City,0,1217,0,,
2020,August,Cumberland County,852,1266,47196,,
2020,October,Appomattox County,975,1619,32046.14,,0
2019,August,Powhatan County,157,416,121572,,
