Year,Month,Locality,Households Served,Individuals Served,Pounds of Food Distributed,Children Served via non-federal child nutrition programs,Pounds of food distributed via non-federal child nutrition progr
2019,July,Alleghany County,363,997,24425.9,,0
2021,May,Emporia City,0,0,0,,
2020,April,Fairfax County,14,34,,,
2020,December,Pittsylvania County,,,0,0,0
2020,June,Winchester City,2,6,,,
2021,April,Frederick County,511,7803,39678.62,,0
2019,October,Bland County,631,1516,24189.45,,0
2020,June,Bland County,415,964,11365.7,,0
2019,November,Appomattox County,1333,2046,25184.01,,0
2019,November,Emporia City,0,0,0,,
2020,July,Lee County,351,958,31069.05,,0
2021,September,Montgomery County,63,63,15903,,13913
2020,May,Madison County,193,504,23002.85,,0
2021,March,Pulaski County,966,5258,30209.8,200,0
2019,October,Petersburg City,0,7675,0,,
2019,June,Richmond City,0,21157,0,,
2019,March,Harrisonburg City,2043,6915,128426.45,111,0
2020,July,King and Queen County,405,844,340343,,
2021,January,Nottoway County,245,843,19232,,
2021,January,Richmond City,0,5693,0,,
2019,December,Surry County,112,190,19689,0,
2020,January,Pittsylvania County,590,1518,20819.98,,0
2019,January,Suffolk City,1985,5013,73386,180,2771
2021,January,Mecklenburg County,1709,2771,7291,,
2020,March,Gloucester County,717,2061,118990,60,1542
2019,May,Loudoun County,,,7510.6,,
2020,November,Russell County,1351,2995,33217.45,,0
2020,March,Carroll County,342,902,10645,,0
2021,January,Hopewell City,0,1004,0,,
2020,May,Lexington City,705,1675,56416.95,,0
2021,June,Essex County,234,525,14158,,
2019,October,Lexington City,729,1591,75141.08,,0
2019,February,Norton City,750,2313,17733.5,,0
2020,September,Lexington City,718,1806,66778.38,,0
2019,May,Halifax County,312,873,18501,,
2019,November,Pittsylvania County,,,0,80,2329
2020,July,Halifax County,418,896,22555,,
2020,October,Loudoun County,3131,14186,242776.44,970,21051
2019,March,Loudoun County,,,6766,,
2020,June,Mathews County,,,20154,,
2019,June,Danville City,2833,8938,119194.15,,238
2019,March,Frederick County,2324,4282,44616.74,,0
2019,November,Rappahannock County,2,4,,,
2020,August,Madison County,199,481,33031.03,,0
2019,October,Charlottesville City,603,8547,47534.29,0,0
2020,August,Louisa County,1229,2451,26842,,
2019,December,Lynchburg City,2242,8578,147826.29,1717,17210
2019,May,Henrico County,7,19,,,
2020,February,Hampton City,1580,3855,252831,410,8267
2019,September,Covington City,402,1550,33785.08,,0
2020,July,Alexandria City,,,244157.725,,
2019,July,Northumberland County,268,654,93843,,
2019,December,Carroll County,327,830,15423.63,,0
2019,March,Roanoke County,157,490,9981,266,2868
2021,August,Franklin County,524,1557,36248.3,,2520
2021,May,Hanover County,921,2467,381,,
2021,September,Pittsylvania County,,,14260.63,,0
2019,October,Pulaski County,1169,5774,33968.05,45,2714
2021,April,Petersburg City,775,1990,7519,,
2019,March,Richmond City,5884,11938,20828,,
2019,October,Henrico County,9,21,,,
2021,May,Prince George County,107,315,9704,,
2020,April,Charlotte County,546,1067,0,,
2021,January,Petersburg City,795,2048,6851,,
2020,April,Loudoun County,3742,17084,219387.97,1065,18244
2019,August,Stafford County,1418,4346,50956,830,996
